emp no,Full Name,Net Hourly Rate,Gorss Monthly Rate,Percent Salary Hike
STAFF-621,Justin Williams,53,17852,11
STAFF-622,Alexandra Jackson,56,2823,14
STAFF-623,Joshua Gonzalez,73,9250,11
STAFF-624,Diane Flowers,75,2373,12
STAFF-625,Michael Cardenas,78,20715,18
STAFF-626,Jason Ashley,74,19239,12
STAFF-627,Eric Smith,91,22162,12
STAFF-628,Leonard Smith,81,19028,22
STAFF-629,Veronica Galvan,66,24558,19
STAFF-630,Julie Williams,63,23965,13
STAFF-631,Ricky Gaines,33,19146,22
STAFF-632,Stephanie Jenkins,62,5044,24
STAFF-633,Mr. Harold Stewart Jr.,35,9068,14
STAFF-634,Ashley Marshall,77,8635,21
STAFF-635,Shannon Andersen,98,14363,18
STAFF-636,Patrick Black,66,23457,20
STAFF-637,Andrea Bright,96,16612,19
STAFF-638,Dean Carpenter,61,9148,12
STAFF-639,Kathryn Sheppard,87,18154,12
STAFF-640,Steve Cordova,36,10554,16
STAFF-641,Heather Rogers,46,10778,17
STAFF-642,Jerry Jimenez,48,8891,14
STAFF-643,Ashlee Smith,98,12102,19
STAFF-644,Christopher Yang,95,23726,13
STAFF-645,Tammy Rodriguez,48,14871,19
STAFF-646,Catherine Moore,48,23522,19
STAFF-647,Samuel Ball,73,22789,14
STAFF-648,Patrick Butler,78,9129,16
STAFF-649,Karen Clark,54,21222,15
STAFF-650,Brenda Rice,72,20206,18
STAFF-651,Raymond Whitney,33,21782,13
STAFF-652,Nicholas Taylor,35,17783,22
STAFF-653,Rachel Crawford,32,4814,13
STAFF-654,Kevin Lee,98,4544,11
STAFF-655,Monica Vargas,42,7790,11
STAFF-656,Christopher Howard DDS,57,22650,11
STAFF-657,Jamie Howard,87,18016,24
STAFF-658,Alec Rollins,62,6054,14
STAFF-659,Benjamin Adams,61,7508,13
STAFF-660,Shannon Mitchell,98,24252,14
STAFF-661,Nancy Jones MD,57,13384,14
STAFF-662,Charles Shah,55,23814,21
STAFF-663,Johnny Owens,49,22052,13
STAFF-664,Aaron Brown Jr.,65,8870,19
STAFF-665,Ashley Williams,68,4821,17
STAFF-666,Karen Duke,65,13137,18
STAFF-667,Sandra Oconnor,34,10022,19
STAFF-668,Tammy Garcia,57,17725,13
STAFF-669,Nicole Brown,77,9834,18
STAFF-670,Brandon Myers,70,4303,21
STAFF-671,Jamie Carson,76,17808,19
STAFF-672,Gary Jones,83,6896,14
STAFF-673,Michael Ross,68,7824,17
STAFF-674,Carlos Mullins,100,3339,11
STAFF-675,Victor Ellis,37,9255,13
STAFF-676,Elizabeth Baxter,41,11737,15
STAFF-677,Brian Long,51,19170,25
STAFF-678,Sean Bennett,51,22477,11
STAFF-679,Cheyenne Wright,51,5543,17
STAFF-680,Nicholas Mann,45,24406,13
STAFF-681,John Romero,65,23293,18
STAFF-682,Jeffrey Nelson DVM,80,16292,13
STAFF-683,Nicole Mathis,70,3974,20
STAFF-684,Jennifer Goodwin,36,18798,18
STAFF-685,Victoria Oliver,67,20652,12
STAFF-686,Erika Gregory,52,11148,12
STAFF-687,Kristin Williams,59,3119,13
STAFF-688,Richard Johnson,79,12287,21
STAFF-689,Isaiah Koch,37,9947,13
STAFF-690,Samantha Little,84,13008,19
STAFF-691,Gary Barnes,41,17369,11
STAFF-692,Thomas Griffith,35,25063,14
STAFF-693,Dr. Michelle Logan,93,13554,12
STAFF-694,Kelly Morgan,51,5518,11
STAFF-695,Jennifer Horn,42,12291,14
STAFF-696,Dana Miller,46,14922,11
STAFF-697,Travis Hamilton,57,23163,12
STAFF-698,Gregory Bullock,84,18203,15
STAFF-699,Dustin Johnson,86,6179,16
STAFF-700,Alexander Taylor,70,13829,15
STAFF-701,Keith Kelley,51,26227,24
STAFF-702,Victor Lambert,45,13938,13
STAFF-703,Cynthia Wilson MD,62,9977,11
STAFF-704,Yesenia Phillips,85,19899,13
STAFF-705,Kelly Gomez,92,6812,13
STAFF-706,Brandon Gray,41,2560,18
STAFF-707,Elizabeth Williams,100,17071,16
STAFF-708,Stacey Martinez,64,6759,19
STAFF-709,Ronald Morris,84,25952,13
STAFF-710,Stanley Smith,46,10322,22
STAFF-711,Dustin Brooks,38,20489,11
STAFF-712,Joshua Lopez,92,11479,20
STAFF-713,Veronica Kelly,53,17241,18
STAFF-714,Theresa Higgins,91,11005,14
STAFF-715,Thomas Lee,66,6615,22
STAFF-716,Andrew Johns,84,20161,13
STAFF-717,Nathan Christensen,64,3735,17
STAFF-718,Daniel Jackson,37,12086,14
STAFF-719,Melissa Marquez,42,14039,15
STAFF-720,Kimberly Davis,83,8571,17
STAFF-721,Micheal Kemp,48,11539,11
STAFF-722,Heather Mann,95,4161,18
STAFF-723,Duane Jackson,66,12127,17
STAFF-724,Melissa Hernandez,75,24208,13
STAFF-725,Anne Simon,41,24117,15
STAFF-726,Caitlin Jordan,39,10074,24
STAFF-727,Arthur Hunt,96,11275,12
STAFF-728,Whitney Cummings,73,13493,15
STAFF-729,David Johnson,56,13943,11
STAFF-730,Cindy Lynch,57,6975,11
STAFF-731,Zachary Ball,73,17802,12
STAFF-732,Adam Webb,98,18275,15
STAFF-733,Melinda Curtis,60,25725,17
STAFF-734,Mary Kelly,32,3334,12
STAFF-735,Robert Maxwell,94,6881,15
STAFF-736,Ernest Silva,97,13119,13
STAFF-737,Paula Perry,78,22245,14
STAFF-738,Mary Boyd,42,23371,14
STAFF-739,Cassandra Mathis,65,7060,16
STAFF-740,Andrea Downs,47,4658,18
STAFF-741,Jenna Gilbert,45,9541,20
STAFF-742,Kevin Parrish,90,7770,13
STAFF-743,Shawna Landry,64,20165,18
STAFF-744,Jeffery Montgomery,69,21829,13
STAFF-745,Jeffrey Hicks,61,14382,15
STAFF-746,James Gray,62,12992,14
STAFF-747,Christian Richards,55,20284,22
STAFF-748,Cindy Jackson,42,4981,12
STAFF-749,Sarah Cruz,79,21813,18
STAFF-750,Monica Lopez,57,25846,15
STAFF-751,Travis Olson,53,11737,18
STAFF-752,Oscar Melton,95,24920,12
STAFF-753,Anna Solis,43,8269,16
STAFF-754,Michael Bailey,82,5083,13
STAFF-755,Charles May,88,21437,19
STAFF-756,Charles Molina,90,5404,13
STAFF-757,Brandon Parker,69,11135,12
STAFF-758,Paul Lang,75,12278,11
STAFF-759,Douglas Frey MD,66,11038,14
STAFF-760,Karina Phillips,36,8318,16
STAFF-761,Amy Byrd,38,23537,12
STAFF-762,Traci Reid,81,7858,14
STAFF-763,Garrett Cannon,57,15346,14
STAFF-764,John Williams,87,18410,19
STAFF-765,Sophia Gonzalez,74,23384,22
STAFF-766,Abigail Scott,44,2997,16
STAFF-767,Frank Brown,62,12853,11
STAFF-768,Robert Padilla,35,13848,15
STAFF-769,Corey Coleman,74,22217,14
STAFF-770,Christopher Grimes,66,25265,13
STAFF-771,Alexander Wang,40,21445,17
STAFF-772,John Lewis,41,8392,11
STAFF-773,Julie Stewart,63,12154,19
STAFF-774,Mr. Jason Collins MD,51,15669,11
STAFF-775,Benjamin Christensen,40,17323,15
STAFF-776,Seth Cameron,79,5268,13
STAFF-777,Emily Jackson,54,17205,14
STAFF-778,Daniel Miller,36,17258,13
STAFF-779,Mrs. Nicole Johnston,74,21029,23
STAFF-780,Brandon Fernandez,34,10332,12
STAFF-781,Luis Norman,72,12355,12
STAFF-782,Manuel Hudson,59,11141,16
STAFF-783,Andrew Blevins,85,9096,15
STAFF-784,Darlene Lee,43,18863,13
STAFF-785,Mario Thomas,65,24608,18
STAFF-786,Kelly Olson,61,26542,20
STAFF-787,Tonya Powell,87,5869,19
STAFF-788,Andrea Lloyd,65,15813,18
STAFF-789,Edward Allen,59,7909,13
STAFF-790,Megan Reed,91,2326,14
STAFF-791,Frederick Best,34,21214,15
STAFF-792,Jose Giles,86,10333,22
STAFF-793,James Nixon,54,3129,22
STAFF-794,Nicholas Jimenez,50,22482,16
STAFF-795,Mary Hansen,45,22266,17
STAFF-796,Jason Schultz,88,24223,14
STAFF-797,Emily Gardner,32,4605,15
STAFF-798,David Johns,37,19373,20
STAFF-799,James Sanchez,55,2993,20
STAFF-800,Lisa Cruz,35,14399,17
STAFF-801,Joe Davidson,45,7160,15
STAFF-802,Stacey Higgins,81,17251,14
STAFF-803,Anita Bridges,30,13401,17
STAFF-804,David Maldonado,40,22478,17
STAFF-805,Brian George,35,16154,22
STAFF-806,Dr. Katherine Lee MD,65,17970,13
STAFF-807,Paul Myers,87,15322,19
STAFF-808,David Acosta,73,5569,14
STAFF-809,Wanda Nguyen,93,26968,22
STAFF-810,Monica King,93,8039,17
STAFF-811,Lisa Turner,52,15596,12
STAFF-812,Thomas Osborne,32,20619,16
STAFF-813,Jeff Mendez,83,11535,11
STAFF-814,Hailey Williams,84,13547,11
STAFF-815,Stephen Harper,44,17544,14
STAFF-816,Joanna Terrell,70,25326,11
STAFF-817,Kimberly Barrett,70,8770,15
STAFF-818,Christopher Meza,78,23238,20
STAFF-819,James Diaz,67,21981,12
STAFF-820,Benjamin Marquez,67,19911,17
STAFF-821,Brian Whitehead,54,18500,11
STAFF-822,Leslie Cervantes,56,11879,17
STAFF-823,Lauren Thomas,95,15834,11
STAFF-824,Juan Pena,61,17940,14
STAFF-825,Bridget Collins,56,9558,19
STAFF-826,Jeremy Campbell,79,17689,15
STAFF-827,Jesus Andrews,37,6004,13
STAFF-828,Justin Rodriguez,39,22088,14
STAFF-829,Tonya Phelps,80,13556,12
STAFF-830,Roger Rojas,77,18385,17
STAFF-831,Joshua Morgan,46,9051,11
STAFF-832,Heidi Gardner,72,6233,12
STAFF-833,Alexander Jordan,52,17171,13
STAFF-834,Christopher Miller,55,7950,13
STAFF-835,Paul Mccormick,70,5829,20
STAFF-836,Bryan Hammond,100,7108,17
STAFF-837,Paige Williams,45,11162,13
STAFF-838,Ms. Jessica Terry,88,13782,17
STAFF-839,Adam Martinez,44,2447,12
STAFF-840,Valerie Smith,45,2253,13
STAFF-841,Kristy Mejia,58,16340,12
STAFF-842,Tamara Manning,49,6409,22
STAFF-843,Kimberly Taylor,79,22955,11
STAFF-844,Alyssa Phillips,82,13421,22
STAFF-845,Rebecca Moody,72,2706,18
STAFF-846,Jill Obrien,92,21203,13
STAFF-847,Sabrina Jenkins,44,19588,18
STAFF-848,Scott Johnson,97,25755,20
STAFF-849,Heather Ferrell,47,26537,13
STAFF-850,Shawn Collins,85,9489,13
STAFF-851,Tyler Serrano,76,14947,12
STAFF-852,John Brady,92,18575,13
STAFF-853,Denise Reed,54,26342,13
STAFF-854,Ariana Wells,54,7172,25
STAFF-855,Catherine Brown,83,20100,19
STAFF-856,Juan Stone,56,9961,13
STAFF-857,Jessica Green,87,12828,12
STAFF-858,Emily Allen,96,10826,11
STAFF-859,Thomas Jennings,50,18640,18
STAFF-860,Kyle Bailey,69,26933,18
STAFF-861,Andre Sullivan,48,4223,11
STAFF-862,April Harris,69,24097,23
STAFF-863,Brenda Davis,74,4279,13
STAFF-864,Harold Hammond,99,8429,13
STAFF-865,Mark Jordan,95,20293,17
STAFF-866,Larry Nguyen,61,13192,19
STAFF-867,Lawrence Navarro,62,25440,12
STAFF-868,Mark Hamilton,30,9490,22
STAFF-869,Timothy Mitchell,78,12449,12
STAFF-870,Michele Pugh,52,10849,11
STAFF-871,Jean Nichols,94,21026,15
STAFF-872,Cynthia Wood,97,3372,13
STAFF-873,Joanna Keller,82,4905,12
STAFF-874,Suzanne Hancock,60,6865,14
STAFF-875,William Wong,49,11309,13
STAFF-876,James Fitzpatrick,32,7744,25
STAFF-877,Francis Jones,43,5050,17
STAFF-878,Jennifer Marshall,60,17433,11
STAFF-879,Johnny Smith,79,12858,16
STAFF-880,Elizabeth Lynch,52,10893,18
STAFF-881,Randall Green,77,7331,20
STAFF-882,Benjamin Rosario,38,2338,14
STAFF-883,Janice Castro,77,4235,21
STAFF-884,Annette Raymond,60,6311,13
STAFF-885,Kimberly Howell,84,11591,12
STAFF-886,Steven Dennis,57,20623,14
STAFF-887,Mr. Blake Duncan II,63,9369,21
STAFF-888,Robin Lewis,60,23281,17
STAFF-889,Colleen Hernandez,78,13755,11
STAFF-890,Robert Fuller,42,14377,14
STAFF-891,Brandon Stephens,53,9659,17
STAFF-892,Melinda Phillips,72,19982,13
STAFF-893,Stephanie Jones,96,6148,25
STAFF-894,Corey Simpson,97,5598,15
STAFF-895,Melissa Ferguson,85,23474,14
STAFF-896,Mrs. Dawn Vasquez,80,17089,12
STAFF-897,Debra Robertson,96,17198,19
STAFF-898,Valerie Vang,48,16490,17
STAFF-899,Ronnie Jimenez,96,18625,14
STAFF-900,Angela Butler DDS,85,12124,13
STAFF-901,Spencer West,46,9256,12
STAFF-902,Jason Evans,76,16620,11
STAFF-903,Mr. William Garcia,76,3208,11
STAFF-904,Sara Wilson,82,4204,11
STAFF-905,Karen Diaz,76,8733,12
STAFF-906,Allison Russell,87,3423,14
STAFF-907,David Klein,89,21643,17
STAFF-908,Victoria Mccarthy,88,8751,11
STAFF-909,Jessica Simpson,82,21708,14
STAFF-910,Jeremiah Hoover,57,21221,12
STAFF-911,Lucas King,47,16901,22
STAFF-912,Michelle Bradley,73,8040,14
STAFF-913,Rodney Yates,53,9973,20
STAFF-914,Misty Riley,94,2493,16
STAFF-915,Caitlin Little,37,25592,15
STAFF-916,April Landry,45,25308,20
STAFF-917,Jason Gonzalez,33,9946,14
STAFF-918,Jonathon Duncan,86,6039,12
STAFF-919,Tracey Long,83,19196,24
STAFF-920,Keith Wright,67,20002,12
STAFF-921,Paige Williams,46,22534,13
STAFF-922,Amanda Kane,44,6842,11
STAFF-923,Candice Brooks,92,17477,14
STAFF-924,Luis Terry,56,21833,11
STAFF-925,Roger Jones II,66,6020,14
STAFF-926,Mario Hall,78,5628,16
STAFF-927,Donna Russell,56,20364,14
STAFF-928,Marissa Owens,53,2323,11
STAFF-929,Sean Williams,73,14075,11
STAFF-930,Tina Collins,52,14222,12
STAFF-931,Ronnie Jones,40,4257,14
STAFF-932,Mr. Kevin Marshall,72,12858,18
STAFF-933,Kyle Ramirez,39,17285,13
STAFF-934,Heather Ferrell,84,4732,11
STAFF-935,Deanna Robinson,40,18830,18
STAFF-936,Justin Hamilton,56,11693,15
STAFF-937,Jennifer Maddox,83,13035,22
STAFF-938,Ronald Davis,94,17334,13
STAFF-939,Derrick Jones,88,26076,12
STAFF-940,Amber Zuniga,79,22845,18
STAFF-941,Brent Key,93,22154,13
STAFF-942,Sharon Oconnor,48,23631,12
STAFF-943,Joshua Martin,63,5747,12
STAFF-944,Mary Gregory,44,22957,12
STAFF-945,Samantha Munoz,55,16392,11
STAFF-946,Maria Benson,43,22422,11
STAFF-947,Sabrina Delgado,57,17235,12
STAFF-948,Daniel Alexander,64,21534,19
STAFF-949,Christopher Clark,95,25927,23
STAFF-950,Lauren Fletcher DDS,32,13352,11
STAFF-951,Timothy Ortega,57,8935,19
STAFF-952,Kelly Andersen,40,22074,13
STAFF-953,Gabriel Jordan,54,8319,11
STAFF-954,Michael Turner,89,14669,12
STAFF-955,Susan Ellis,37,26582,13
STAFF-956,William Reyes,58,6992,14
STAFF-957,Christopher Liu,99,4022,14
STAFF-958,Gina Murphy,74,8532,16
STAFF-959,Lucas Martinez,86,5494,11
STAFF-960,Laura Everett,98,22455,13
STAFF-961,Thomas Garcia,66,4297,17
STAFF-962,Travis Brown,87,2690,11
STAFF-963,Brianna Hernandez,84,17588,11
STAFF-964,Devon Walker,31,19461,15
STAFF-965,Steven Luna,66,23553,12
STAFF-966,Jade Guzman,67,9075,11
STAFF-967,Michael Nixon,53,12023,14
STAFF-968,Jeremy Gonzalez,88,6762,22
STAFF-969,Robert Park,83,2261,16
STAFF-970,Nicole Gray,54,18706,11
STAFF-971,Andrew Williams,98,6527,14
STAFF-972,Suzanne Wu,82,24439,16
STAFF-973,Tonya Barr,97,19305,15
STAFF-974,Sara Khan,60,10846,12
STAFF-975,Krystal Martinez,43,20392,20
STAFF-976,Richard Freeman,85,9277,17
STAFF-977,Timothy Diaz,68,18235,12
STAFF-978,Hannah Wright,92,15891,20
STAFF-979,Eric Stevenson,89,13888,20
STAFF-980,Emily Allen,86,17491,13
STAFF-981,James Michael,90,11882,14
STAFF-982,Max Ponce,67,23288,18
STAFF-983,Tanner Stanton,57,15748,11
STAFF-984,Margaret Ingram,98,6163,11
STAFF-985,Rebecca Jordan,48,24232,11
STAFF-986,Steven Moore,98,21057,15
STAFF-987,Douglas Richardson,44,3567,12
STAFF-988,Lisa Parrish,52,15395,11
STAFF-989,Dr. Teresa Erickson MD,75,13953,14
STAFF-990,Jared Nash,54,5182,15
STAFF-991,Stephanie Craig,61,19293,13
STAFF-992,Roberta Ho,36,20497,13
STAFF-993,Kimberly Bolton,71,3449,21
STAFF-994,Brittany Harrington,93,12477,11
STAFF-995,Amanda Contreras,59,9731,11
STAFF-996,James Williams,73,20003,14
STAFF-997,Theresa Diaz,98,7100,11
STAFF-998,Lisa Gilbert,51,25681,13
STAFF-999,Sandra Weaver,36,4050,12
STAFF-1000,Audrey Booth,31,16616,14
STAFF-1001,Julie Williams,34,16542,18
STAFF-1002,Jessica Alexander,33,15411,15
STAFF-1003,Denise Adkins,52,12250,12
STAFF-1004,Jason Murphy,98,17231,18
STAFF-1005,Michael Smith,33,8018,16
STAFF-1006,Jonathan Dorsey,32,3987,19
STAFF-1007,Deborah Bates,78,7103,13
STAFF-1008,Susan Brown,62,10697,15
STAFF-1009,Miguel Johnson,58,2437,11
STAFF-1010,Rachel Smith,97,9192,13
STAFF-1011,Michael Smith,75,15963,14
STAFF-1012,Isaac White,77,23844,19
STAFF-1013,Pamela Martinez,73,26849,11
STAFF-1014,Mrs. Selena Levine,97,4668,13
STAFF-1015,James Smith,81,3140,13
STAFF-1016,Lauren Lopez,74,16458,13
STAFF-1017,Christine Robinson,78,26427,16
STAFF-1018,Danielle Smith,79,9282,12
STAFF-1019,Brian Jackson,68,8277,14
STAFF-1020,Scott Salas,82,19655,14
STAFF-1021,Brandon Strickland,98,5220,11
STAFF-1022,Samuel Hamilton,96,24609,18
STAFF-1023,Susan Lucero,62,16031,12
STAFF-1024,Jamie Sanchez,47,10748,12
STAFF-1025,Rhonda Richards,52,9060,17
STAFF-1026,Steven James,91,10007,13
STAFF-1027,Mrs. Kelsey Morris,66,19332,12
STAFF-1028,Karen Kent,59,5388,19
STAFF-1029,Bailey Jenkins,50,21981,15
STAFF-1030,Dylan Marquez,82,8192,11
STAFF-1031,Kerri Aguilar,81,22539,13
STAFF-1032,Michael Short,53,22984,11
STAFF-1033,Richard Thomas,35,20338,12
STAFF-1034,Nicole Mcdonald,86,22490,17
STAFF-1035,Steven Gutierrez,54,17363,13
STAFF-1036,William Mullen,99,3376,12
STAFF-1037,Kayla Pennington,71,9953,11
STAFF-1038,Daniel Mckenzie,39,7288,13
STAFF-1039,Connie Martinez,62,8952,12
STAFF-1040,Darryl Taylor,99,25605,17
STAFF-1041,Caitlin Parker,84,22102,14
STAFF-1042,Bob Hood,65,16530,12
STAFF-1043,Kari Robinson,86,3708,17
STAFF-1044,Sherry Morales,67,15624,12
STAFF-1045,Joseph Thomas,40,16376,11
STAFF-1046,Keith Chapman,87,26176,19
STAFF-1047,Jason Diaz,43,25412,17
STAFF-1048,Richard Dixon,68,15696,15
STAFF-1049,Traci Merritt,80,25800,13
STAFF-1050,Jerome Fernandez,72,3498,16
STAFF-1051,Michael Durham,67,22474,11
STAFF-1052,Maria Williams,82,26703,19
STAFF-1053,Catherine Davies,93,23888,13
STAFF-1054,Joseph Powers,42,22792,12
STAFF-1055,Taylor Kim,35,18783,17
STAFF-1056,John Sampson,98,12549,14
STAFF-1057,Melissa Becker,93,8847,11
STAFF-1058,Morgan Perez,94,19106,18
STAFF-1059,Dean Frederick,64,2739,14
STAFF-1060,James Sherman,32,9150,18
STAFF-1061,Bruce Fowler,64,5411,12
STAFF-1062,Chris Cunningham,49,15919,13
STAFF-1063,Elizabeth Barrett,51,12862,13
STAFF-1064,Ronald Smith,67,6152,11
STAFF-1065,Michael Mitchell,73,8489,14
STAFF-1066,Kevin Pacheco,91,21195,19
STAFF-1067,Michael Smith,48,17119,11
STAFF-1068,Michael Smith,54,5652,19
STAFF-1069,Tammy Wagner,45,7739,12
STAFF-1070,Frank Wall,96,13693,14
STAFF-1071,Yolanda Lane,73,12761,14
STAFF-1072,Janice Atkins,47,21086,14
STAFF-1073,Ariel Johnson,100,5982,11
STAFF-1074,Anna Johnson,100,14369,13
STAFF-1075,David Graham,60,8828,11
STAFF-1076,Megan Reid,92,4258,14
STAFF-1077,Sabrina Thomas,78,3692,19
STAFF-1078,Matthew Meza,51,11380,12
STAFF-1079,Mary Jackson,89,20328,16
STAFF-1080,Jesse Allen,84,11262,15
STAFF-1081,Patricia Elliott,91,13402,14
STAFF-1082,Monica Ochoa,94,12695,19
STAFF-1083,Jimmy Bailey,67,22589,11
STAFF-1084,Amanda Scott,98,13494,13
STAFF-1085,Todd King,48,24032,19
STAFF-1086,Sergio Thompson,89,26997,14
STAFF-1087,Mary Fox,90,16379,12
STAFF-1088,Adam Fernandez,73,21447,13
STAFF-1089,Andrew Dougherty,31,13251,19
STAFF-1090,Barbara Miller,51,7439,15
STAFF-1091,Julia Rodriguez,32,25353,12
STAFF-1092,Walter Hayes,30,21378,18
STAFF-1093,Tanya Harrison,50,23333,15
STAFF-1094,John Delgado,80,8191,12
STAFF-1095,Larry Clark,43,10494,15
STAFF-1096,Philip Smith,100,7129,13
STAFF-1097,Tammy Walker,60,20794,19
STAFF-1098,Carol Davis,90,24442,14
STAFF-1099,Rachel Mills,55,25178,11
STAFF-1100,Jared James,64,7152,13
STAFF-1101,Adam Arnold,81,23099,11
STAFF-1102,Rodney Warner,90,6194,15
STAFF-1103,Laurie Duncan,59,20439,12
STAFF-1104,Heather Moses,64,2125,18
STAFF-1105,Eddie Medina,62,25174,14
STAFF-1106,Sharon Myers,52,24978,13
STAFF-1107,Alison Oliver,74,3787,19
STAFF-1108,Dana Sandoval,65,17674,14
STAFF-1109,Martin Taylor,90,7973,14
STAFF-1110,Ronald Duncan,49,2122,14
STAFF-1111,Brittany Moore,84,25470,14
STAFF-1112,Frederick Love,37,14811,12
STAFF-1113,Frederick Collins,87,15302,13
STAFF-1114,Robert Miles,40,19788,15
STAFF-1115,Ms. Lisa Gaines,52,24162,15
STAFF-1116,Christopher Clark,87,3536,11
STAFF-1117,Crystal Cannon,98,25166,15
STAFF-1118,Jennifer Shepherd,71,14814,11
STAFF-1119,Karen Hunter,59,2097,14
STAFF-1120,Tara Bradley,87,24483,19
STAFF-1121,Gregory Davis,42,17000,13
STAFF-1122,Kristy Wolfe,71,11929,14
STAFF-1123,Catherine Wilson,91,20284,14
STAFF-1124,Tracy Kennedy,77,4973,17
STAFF-1125,Samuel Thomas,42,13738,15
STAFF-1126,Taylor Stephenson,40,7003,13
STAFF-1127,Caleb Thomas,72,14284,11
STAFF-1128,Katherine Sanders DDS,56,17360,13
STAFF-1129,Kevin Kaufman,61,7102,18
STAFF-1130,Taylor Griffin,41,12290,17
STAFF-1131,Alyssa Velasquez,92,15332,14
STAFF-1132,Steve Allen,90,9867,15
STAFF-1133,Betty Turner,44,14511,12
STAFF-1134,Lisa Hudson,60,19944,11
STAFF-1135,Brian Dyer,87,6297,13
STAFF-1136,Christina Rodriguez,83,19188,18
STAFF-1137,Alyssa King,31,7677,14
STAFF-1138,Aaron Gonzalez,63,13243,14
STAFF-1139,Donald Manning,54,17456,14
STAFF-1140,Kyle House,55,11827,14
STAFF-1141,Cameron Wright PhD,54,21602,13
STAFF-1142,Robert Miller,79,26075,13
STAFF-1143,Donald Mercer,89,12832,13
STAFF-1144,John Owens,87,15434,11
STAFF-1145,Craig Price,51,9769,13
STAFF-1146,Anna Dickson,97,5033,13
STAFF-1147,Robert Cruz,94,23737,12
STAFF-1148,Catherine Coleman,72,12530,14
STAFF-1149,Mark Hernandez,98,18991,11
STAFF-1150,Olivia Reed,89,18624,11
STAFF-1151,Evelyn Bowman,76,10302,15
STAFF-1152,Ernest Kelly,68,8045,14
STAFF-1153,Jennifer Myers,82,19989,14
STAFF-1154,Daniel Sanchez,87,5855,12
STAFF-1155,Eric Thomas,71,14293,19
STAFF-1156,Roberto Bryant,81,12414,13
STAFF-1157,Eric Wallace,35,20948,14
STAFF-1158,Robert Brown,93,21143,17
STAFF-1159,Natasha Mckay,67,16290,11
STAFF-1160,Zachary Griffith,45,25518,13
STAFF-1161,Mary Sanchez,66,20933,12
STAFF-1162,Angela Hill,91,3622,13
STAFF-1163,Amy Grant,57,10036,14
STAFF-1164,Hunter Howard,41,5141,14
STAFF-1165,Lisa Phillips,56,17312,11
STAFF-1166,Samantha Thompson,47,3031,17
STAFF-1167,Michele Gomez,91,7679,14
STAFF-1168,Ashley Hayes,48,26312,11
STAFF-1169,Lauren Russell,82,10228,12
STAFF-1170,Marvin George,48,3458,15
STAFF-1171,Erika Moran,91,13583,12
STAFF-1172,Mrs. Mackenzie Powers PhD,76,4077,13
STAFF-1173,Joseph Brown,89,6225,12
STAFF-1174,Kelly Rich,96,21534,14
STAFF-1175,Michael Thompson,30,16873,17
STAFF-1176,Jamie Mckinney,81,4910,11
STAFF-1177,Lisa Cox,74,10205,12
STAFF-1178,Mrs. Stephanie Jacobson,91,9696,16
STAFF-1179,Kathy Kemp,48,5348,12
STAFF-1180,David Young,57,11912,14
STAFF-1181,Reginald Jackson,41,6073,11
STAFF-1182,Phyllis Castillo,69,18103,14
STAFF-1183,Laura Owens,33,3811,12
STAFF-1184,Harold Rich,45,13008,17
STAFF-1185,Kelly Sullivan DVM,78,9364,15
STAFF-1186,Pamela Pitts,68,24052,14
STAFF-1187,Elizabeth Reyes,63,7713,18
STAFF-1188,Bradley Miller,83,14842,13
STAFF-1189,Ray Coleman,82,5531,11
STAFF-1190,Shannon Andrews,58,9128,16
STAFF-1191,Vanessa Jenkins,62,17616,16
STAFF-1192,Christopher Hill,42,21457,15
STAFF-1193,Roy Schultz,32,22074,13
STAFF-1194,Mr. Thomas Bradley,49,5151,16
STAFF-1195,Brian Anthony,90,6076,19
STAFF-1196,Todd Short,45,12826,16
STAFF-1197,Daniel Hall,80,7419,14
STAFF-1198,Jennifer Anderson,83,4060,19
STAFF-1199,Jeffrey Rodriguez,95,5696,18
STAFF-1200,Phillip Williams,46,25348,17
STAFF-1201,Francis Small,96,3173,14
STAFF-1202,Michael Mckinney,91,22376,18
STAFF-1203,Kelly Sawyer,76,3835,13
STAFF-1204,Brenda Munoz,79,13637,18
STAFF-1205,Alfred Diaz,60,19805,12
STAFF-1206,Amy Carrillo,85,26493,17
STAFF-1207,Daniel Miller,62,6217,15
STAFF-1208,Tina Jones,37,22604,16
STAFF-1209,Debbie Oconnor,77,10950,11
STAFF-1210,Jacob Kennedy,97,24812,14
STAFF-1211,Linda Ferguson,35,22061,13
STAFF-1212,Alex Parker,52,5340,13
STAFF-1213,Thomas Walsh,45,14120,12
STAFF-1214,Matthew Washington,48,18698,19
STAFF-1215,Amanda Barton,85,15530,12
STAFF-1216,Charlotte Fritz,52,2725,14
STAFF-1217,Alexander Henry,95,20006,13
STAFF-1218,David Horton,34,9697,14
STAFF-1219,Allen Miller,36,22384,14
STAFF-1220,Travis Rollins,97,26009,18
STAFF-1221,Amy Watts,100,23577,12
STAFF-1222,Cory Cummings,68,21731,19
STAFF-1223,Eric Johnson,44,24152,13
STAFF-1224,Sandra White,59,19384,14
STAFF-1225,Leslie Sweeney,78,11288,14
STAFF-1226,Rodney Williams,49,21158,13
STAFF-1227,Justin Ryan,81,13624,13
STAFF-1228,Katherine Stevens,63,17624,12
STAFF-1229,Keith Salazar,78,13672,13
STAFF-1230,Maria Thomas,39,19764,12
